category_id,origin_id,label_id,name,explanation_url,recipe_url
1,022,139,과메기,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62437,
1,023,140,양념치킨,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62124,
1,024,141,젓갈,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62433,
1,025,142,콩조림,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62165,
1,026,143,편육,,
1,028,144,후라이드치킨,,
2,000,0,갈비구이,,
2,001,1,갈치구이,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62254,
2,002,2,고등어구이,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62255,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56908
2,003,3,곱창구이,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62259,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56909
2,004,4,닭갈비,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62103,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56916
2,005,5,더덕구이,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62272,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56926
2,006,6,떡갈비,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62280,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56911
2,007,7,불고기,http://lampcook.com/food/food_dic_global_view.php?search_mode=2&alpha_no=0&big_no=0&sql_one=%EB%B6%88%EA%B3%A0%EA%B8%B0&pagenum=1&idx_no=219,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56912
2,008,8,삼겹살,http://lampcook.com/food/food_dic_global_view.php?search_mode=2&alpha_no=0&big_no=0&sql_one=%EC%82%BC%EA%B2%B9%EC%82%B4&pagenum=1&idx_no=218,
2,009,9,장어구이,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62317,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56923
2,010,10,조개구이,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62321,
2,011,11,조기구이,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62322,
2,012,12,황태구이,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62326,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56927
2,013,13,훈제오리,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62328,
3,014,14,달걀국,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=61911,
3,015,15,떡만둣국,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62487,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56851
3,016,16,무국,,
3,017,17,미역국,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=61920,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56844
3,018,18,북엇국,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=61927,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56847
3,019,19,시래기된장국,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=61936,
3,020,20,육개장,http://lampcook.com/food/food_dic_global_view.php?search_mode=2&alpha_no=0&big_no=0&sql_one=%EC%9C%A1%EA%B0%9C%EC%9E%A5&pagenum=1&idx_no=532,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56858
3,021,21,콩나물국,http://lampcook.com/food/food_dic_global_view.php?search_mode=2&alpha_no=0&big_no=0&sql_one=%EC%BD%A9%EB%82%98%EB%AC%BC%EA%B5%AD&pagenum=1&idx_no=529,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56845
4,029,22,갓김치,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62460,
4,030,23,깍두기,http://lampcook.com/food/food_dic_global_view.php?search_mode=2&alpha_no=0&big_no=0&sql_one=%EA%B9%8D%EB%91%90%EA%B8%B0&pagenum=1&idx_no=78,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56943
4,031,24,나박김치,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62465,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56944
